pos,turn,result
r2n1r1k/4q1pp/4p3/2pp4/Pp1P1n2/1P2RN2/3N1PPP/R4QK1,1,1
r2n1r1k/4q1pp/4p3/2Pp4/Pp3n2/1P2RN2/3N1PPP/R4QK1,0,1
r2n1r1k/6pp/4p3/2qp4/Pp3n2/1P2RN2/3N1PPP/R4QK1,1,1
r2n1r1k/6pp/4p3/2qpN3/Pp3n2/1P2R3/3N1PPP/R4QK1,0,1
r4r1k/5npp/4p3/2qpN3/Pp3n2/1P2R3/3N1PPP/R4QK1,1,1
r4r1k/3N1npp/4p3/2qp4/Pp3n2/1P2R3/3N1PPP/R4QK1,0,1
r4r1k/3N1npp/3qp3/3p4/Pp3n2/1P2R3/3N1PPP/R4QK1,1,1
r4N1k/5npp/3qp3/3p4/Pp3n2/1P2R3/3N1PPP/R4QK1,0,1
5r1k/5npp/3qp3/3p4/Pp3n2/1P2R3/3N1PPP/R4QK1,1,1
5r1k/5npp/3qp3/P2p4/1p3n2/1P2R3/3N1PPP/R4QK1,0,1
5r1k/5npp/3qp3/P7/1p1p1n2/1P2R3/3N1PPP/R4QK1,1,1
5r1k/5npp/3qp3/P7/1p1p1n2/1P6/3N1PPP/R3RQK1,0,1
5r1k/5npp/3qp3/P7/1p3n2/1P1p4/3N1PPP/R3RQK1,1,1
5r1k/5npp/P2qp3/8/1p3n2/1P1p4/3N1PPP/R3RQK1,0,1
5r1k/6pp/P2qp3/6n1/1p3n2/1P1p4/3N1PPP/R3RQK1,1,1
5r1k/6pp/P2qp3/6n1/1p3n1P/1P1p4/3N1PP1/R3RQK1,0,1
5r1k/6pp/P2qp3/6n1/1p5P/1P1p4/3NnPP1/R3RQK1,1,1
5r1k/6pp/P2qp3/6n1/1p5P/1P1p4/3NRPP1/R4QK1,0,1
5r1k/6pp/P2qp3/6n1/1p5P/1P6/3NpPP1/R4QK1,1,1
5r1k/6pp/P2qp3/6n1/1p5P/1P6/3NQPP1/R5K1,0,1
5r1k/6pp/P3p3/6n1/1p1q3P/1P6/3NQPP1/R5K1,1,1
5r1k/6pp/P3p3/R5n1/1p1q3P/1P6/3NQPP1/6K1,0,1
5r1k/6pp/P3p3/R5n1/1p5q/1P6/3NQPP1/6K1,1,1
5r1k/P5pp/4p3/R5n1/1p5q/1P6/3NQPP1/6K1,0,1
r6k/P5pp/4p3/R5n1/1p5q/1P6/3NQPP1/6K1,1,1
r6k/P5pp/4p3/R3Q1n1/1p5q/1P6/3N1PP1/6K1,0,1
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR,0,-1
rnbqkbnr/ppppp1pp/8/5p2/3P4/8/PPP1PPPP/RNBQKBNR,1,-1
rnbqkbnr/ppppp1pp/8/5p2/3P4/6P1/PPP1PP1P/RNBQKBNR,0,-1
rnbqkb1r/ppppp1pp/5n2/5p2/3P4/6P1/PPP1PP1P/RNBQKBNR,1,-1
rnbqkb1r/ppppp1pp/5n2/5p2/3P4/6P1/PPP1PPBP/RNBQK1NR,0,-1
rnbqkb1r/ppppp2p/5np1/5p2/3P4/6P1/PPP1PPBP/RNBQK1NR,1,-1
rnbqkb1r/ppppp2p/5np1/5p2/3P4/5NP1/PPP1PPBP/RNBQK2R,0,-1
rnbqk2r/ppppp1bp/5np1/5p2/3P4/5NP1/PPP1PPBP/RNBQK2R,1,-1
rnbqk2r/ppppp1bp/5np1/5p2/3P4/5NP1/PPP1PPBP/RNBQ1RK1,0,-1
rnbq1rk1/ppppp1bp/5np1/5p2/3P4/5NP1/PPP1PPBP/RNBQ1RK1,1,-1
rnbq1rk1/ppppp1bp/5np1/5p2/2PP4/5NP1/PP2PPBP/RNBQ1RK1,0,-1
rnbq1rk1/ppp1p1bp/3p1np1/5p2/2PP4/5NP1/PP2PPBP/RNBQ1RK1,1,-1
rnbq1rk1/ppp1p1bp/3p1np1/5p2/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1,0,-1
rnbq1rk1/pp2p1bp/2pp1np1/5p2/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1,1,-1
rnbq1rk1/pp2p1bp/2pp1np1/5p2/2PP4/2N2NP1/PPQ1PPBP/R1B2RK1,0,-1
r1bq1rk1/pp2p1bp/n1pp1np1/5p2/2PP4/2N2NP1/PPQ1PPBP/R1B2RK1,1,-1
r1bq1rk1/pp2p1bp/n1pp1np1/5p2/2PP4/P1N2NP1/1PQ1PPBP/R1B2RK1,0,-1
r1b1qrk1/pp2p1bp/n1pp1np1/5p2/2PP4/P1N2NP1/1PQ1PPBP/R1B2RK1,1,-1
r1b1qrk1/pp2p1bp/n1pp1np1/5p2/2PPP3/P1N2NP1/1PQ2PBP/R1B2RK1,0,-1
r1b1qrk1/pp4bp/n1pp1np1/4pp2/2PPP3/P1N2NP1/1PQ2PBP/R1B2RK1,1,-1
r1b1qrk1/pp4bp/n1pp1np1/4Pp2/2P1P3/P1N2NP1/1PQ2PBP/R1B2RK1,0,-1
r1b1qrk1/pp4bp/n1p2np1/4pp2/2P1P3/P1N2NP1/1PQ2PBP/R1B2RK1,1,-1
r1b1qrk1/pp4bp/n1p2np1/4pp2/1PP1P3/P1N2NP1/2Q2PBP/R1B2RK1,0,-1
r1b1qrk1/ppn3bp/2p2np1/4pp2/1PP1P3/P1N2NP1/2Q2PBP/R1B2RK1,1,-1
r1b1qrk1/ppn3bp/2p2np1/2P1pp2/1P2P3/P1N2NP1/2Q2PBP/R1B2RK1,0,-1
r1b1qrk1/ppn3bp/2p2np1/2P1p3/1P2Pp2/P1N2NP1/2Q2PBP/R1B2RK1,1,-1
r1b1qrk1/ppn3bp/2p2np1/2P1p3/1P2PP2/P1N2N2/2Q2PBP/R1B2RK1,0,-1
r1b1qrk1/ppn3bp/2p3p1/2P1p2n/1P2PP2/P1N2N2/2Q2PBP/R1B2RK1,1,-1
r1b1qrk1/ppn3bp/2p3p1/2P1p2n/1P2PP2/P4N2/2Q1NPBP/R1B2RK1,0,-1
r1b1qrk1/ppn3bp/2p3p1/2P4n/1P2Pp2/P4N2/2Q1NPBP/R1B2RK1,1,-1
r1b1qrk1/ppn3bp/2p3p1/2P4n/1P2Pp2/P4N2/1BQ1NPBP/R4RK1,0,-1
r1b1qrk1/ppn3bp/2p5/2P3pn/1P2Pp2/P4N2/1BQ1NPBP/R4RK1,1,-1
r1b1qrk1/ppn3Bp/2p5/2P3pn/1P2Pp2/P4N2/2Q1NPBP/R4RK1,0,-1
r1b1qrk1/ppn3np/2p5/2P3p1/1P2Pp2/P4N2/2Q1NPBP/R4RK1,1,-1
r1b1qrk1/ppn3np/2p5/2P3N1/1P2Pp2/P7/2Q1NPBP/R4RK1,0,-1
r1b2rk1/ppn3np/2p5/2P3Nq/1P2Pp2/P7/2Q1NPBP/R4RK1,1,-1
r1b2rk1/ppn3np/2p5/2P4q/1P2Pp2/P4N2/2Q1NPBP/R4RK1,0,-1
r4rk1/ppn3np/2p5/2P4q/1P2Ppb1/P4N2/2Q1NPBP/R4RK1,1,-1
r4rk1/ppn3np/2p5/2P4q/1P2Ppb1/P4N2/2Q1NPBP/R4R1K,0,-1
4rrk1/ppn3np/2p5/2P4q/1P2Ppb1/P4N2/2Q1NPBP/R4R1K,1,-1
4rrk1/ppn3np/2p5/2P4q/1P2Ppb1/P4N2/2Q2PBP/R4RNK,0,-1
5rk1/ppn3np/2p1r3/2P4q/1P2Ppb1/P4N2/2Q2PBP/R4RNK,1,-1
5rk1/ppn3np/2p1r3/2P4q/1P2Ppb1/P4N1P/2Q2PB1/R4RNK,0,-1
5rk1/ppn3np/2p3r1/2P4q/1P2Ppb1/P4N1P/2Q2PB1/R4RNK,1,-1
5rk1/ppn3np/2p3r1/2P4q/1P2Ppb1/P6P/2Q2PBN/R4RNK,0,-1
2b2rk1/ppn3np/2p3r1/2P4q/1P2Pp2/P6P/2Q2PBN/R4RNK,1,-1
2b2rk1/ppn3np/2p3r1/2P4q/1P2Pp2/P4P1P/2Q3BN/R4RNK,0,-1
