d1d4,r1bq1rk1/ppp1bppp/3p1n2/8/2Pn4/P1N1P3/1P2BPPP/R1BQK2R,c3d5 c3b5 c3e4 c3a4 c3a2 c3b1 e2h5 e2g4 e2f3 e2d3 e2f1 h1g1 h1f1 e1d2 e1f1 d1d4 d1a4 d1d3 d1b3 d1d2 d1c2 c1d2 a1a2 a1b1 e1g1 e3d4 c4c5 e3e4 a3a4 h2h3 g2g3 f2f3 b2b3 h2h4 g2g4 f2f4 b2b4
c8e6,r1bq1rk1/ppp1bppp/3p1n2/8/2PQ4/P1N1P3/1P2BPPP/R1B1K2R,g8h8 f8e8 d8e8 d8d7 c8d7 c8e6 c8f5 c8g4 c8h3 a8b8 f6e8 f6d7 f6h5 f6d5 f6g4 f6e4 h7h6 g7g6 c7c6 b7b6 a7a6 d6d5 h7h5 g7g5 c7c5 b7b5 a7a5
c3d5,r2q1rk1/ppp1bppp/3pbn2/8/2PQ4/P1N1P3/1P2BPPP/R1B1K2R,d4a7 d4f6 d4d6 d4b6 d4e5 d4d5 d4c5 d4h4 d4g4 d4f4 d4e4 d4d3 d4d2 d4d1 c3d5 c3b5 c3e4 c3a4 c3a2 c3d1 c3b1 e2h5 e2g4 e2f3 e2d3 e2f1 e2d1 h1g1 h1f1 e1d2 e1f1 e1d1 c1d2 a1a2 a1b1 e1g1 c4c5 e3e4 a3a4 h2h3 g2g3 f2f3 b2b3 h2h4 g2g4 f2f4 b2b4
c7c5,r2q1rk1/ppp1bppp/3pbn2/3N4/2PQ4/P3P3/1P2BPPP/R1B1K2R,g8h8 f8e8 d8e8 d8c8 d8b8 d8d7 a8c8 a8b8 f6e8 f6d7 f6h5 f6d5 f6g4 f6e4 e6c8 e6d7 e6f5 e6d5 e6g4 e6h3 h7h6 g7g6 c7c6 b7b6 a7a6 h7h5 g7g5 c7c5 b7b5 a7a5
d5e7,r2q1rk1/pp2bppp/3pbn2/2pN4/2PQ4/P3P3/1P2BPPP/R1B1K2R,d5e7 d5c7 d5f6 d5b6 d5f4 d5b4 d5c3 d4f6 d4e5 d4c5 d4h4 d4g4 d4f4 d4e4 d4d3 d4c3 d4d2 d4d1 e2h5 e2g4 e2f3 e2d3 e2f1 e2d1 h1g1 h1f1 e1d2 e1f1 e1d1 c1d2 a1a2 a1b1 e1g1 e3e4 a3a4 h2h3 g2g3 f2f3 b2b3 h2h4 g2g4 f2f4 b2b4
d8e7,r2q1rk1/pp2Nppp/3pbn2/2p5/2PQ4/P3P3/1P2BPPP/R1B1K2R,g8h8 d8e7
d4h4,r4rk1/pp2qppp/3pbn2/2p5/2PQ4/P3P3/1P2BPPP/R1B1K2R,d4f6 d4d6 d4e5 d4d5 d4c5 d4h4 d4g4 d4f4 d4e4 d4d3 d4c3 d4d2 d4d1 e2h5 e2g4 e2f3 e2d3 e2f1 e2d1 h1g1 h1f1 e1d2 e1f1 e1d1 c1d2 a1a2 a1b1 e1g1 e3e4 a3a4 h2h3 g2g3 f2f3 b2b3 h2h4 g2g4 f2f4 b2b4
d6d5,r4rk1/pp2qppp/3pbn2/2p5/2P4Q/P3P3/1P2BPPP/R1B1K2R,g8h8 f8e8 f8d8 f8c8 f8b8 a8e8 a8d8 a8c8 a8b8 e7e8 e7d8 e7d7 e7c7 f6e8 f6d7 f6h5 f6d5 f6g4 f6e4 e6c8 e6d7 e6f5 e6d5 e6g4 e6c4 e6h3 h7h6 g7g6 b7b6 a7a6 d6d5 h7h5 g7g5 b7b5 a7a5
c4d5,r4rk1/pp2qppp/4bn2/2pp4/2P4Q/P3P3/1P2BPPP/R1B1K2R,h4h7 h4h6 h4f6 h4h5 h4g5 h4g4 h4f4 h4e4 h4d4 h4h3 h4g3 e2h5 e2g4 e2f3 e2d3 e2f1 e2d1 h1g1 h1f1 e1d2 e1f1 e1d1 c1d2 a1a2 a1b1 e1g1 c4d5 e3e4 a3a4 h2h3 g2g3 f2f3 b2b3 g2g4 f2f4 b2b4
e6d5,r4rk1/pp2qppp/4bn2/2pP4/7Q/P3P3/1P2BPPP/R1B1K2R,g8h8 f8e8 f8d8 f8c8 f8b8 a8e8 a8d8 a8c8 a8b8 e7e8 e7d8 e7d7 e7c7 e7d6 f6e8 f6d7 f6h5 f6d5 f6g4 f6e4 e6c8 e6d7 e6f5 e6d5 e6g4 e6h3 h7h6 g7g6 b7b6 a7a6 c5c4 h7h5 g7g5 b7b5 a7a5
f2f3,r4rk1/pp2qppp/5n2/2pb4/7Q/P3P3/1P2BPPP/R1B1K2R,h4h7 h4h6 h4f6 h4h5 h4g5 h4g4 h4f4 h4e4 h4d4 h4c4 h4b4 h4a4 h4h3 h4g3 e2a6 e2h5 e2b5 e2g4 e2c4 e2f3 e2d3 e2f1 e2d1 h1g1 h1f1 e1d2 e1f1 e1d1 c1d2 a1a2 a1b1 e1g1 e3e4 a3a4 h2h3 g2g3 f2f3 b2b3 g2g4 f2f4 b2b4
e7e6,r4rk1/pp2qppp/5n2/2pb4/7Q/P3PP2/1P2B1PP/R1B1K2R,g8h8 f8e8 f8d8 f8c8 f8b8 a8e8 a8d8 a8c8 a8b8 e7e8 e7d8 e7d7 e7c7 e7e6 e7d6 e7e5 e7e4 e7e3 f6e8 f6d7 f6h5 f6g4 f6e4 d5e6 d5c6 d5e4 d5c4 d5f3 d5b3 d5a2 h7h6 g7g6 b7b6 a7a6 c5c4 h7h5 g7g5 b7b5 a7a5
e1g1,r4rk1/pp3ppp/4qn2/2pb4/7Q/P3PP2/1P2B1PP/R1B1K2R,h4h7 h4h6 h4f6 h4h5 h4g5 h4g4 h4f4 h4e4 h4d4 h4c4 h4b4 h4a4 h4h3 h4g3 h4f2 e2a6 e2b5 e2c4 e2d3 e2f1 e2d1 h1g1 h1f1 e1f2 e1d2 e1f1 e1d1 c1d2 a1a2 a1b1 e1g1 f3f4 e3e4 a3a4 h2h3 g2g3 b2b3 g2g4 b2b4
f6d7,r4rk1/pp3ppp/4qn2/2pb4/7Q/P3PP2/1P2B1PP/R1B2RK1,g8h8 f8e8 f8d8 f8c8 f8b8 a8e8 a8d8 a8c8 a8b8 f6e8 f6d7 f6h5 f6g4 f6e4 e6e8 e6c8 e6e7 e6d7 e6d6 e6c6 e6b6 e6a6 e6f5 e6e5 e6g4 e6e4 e6h3 e6e3 d5c6 d5e4 d5c4 d5f3 d5b3 d5a2 h7h6 g7g6 b7b6 a7a6 c5c4 h7h5 g7g5 b7b5 a7a5
c1d2,r4rk1/pp1n1ppp/4q3/2pb4/7Q/P3PP2/1P2B1PP/R1B2RK1,h4d8 h4h7 h4e7 h4h6 h4f6 h4h5 h4g5 h4g4 h4f4 h4e4 h4d4 h4c4 h4b4 h4a4 h4h3 h4g3 h4f2 h4e1 e2a6 e2b5 e2c4 e2d3 e2d1 g1f2 g1h1 f1f2 f1e1 f1d1 c1d2 a1a2 a1b1 f3f4 e3e4 a3a4 h2h3 g2g3 b2b3 g2g4 b2b4
